"samp_date","site_id","plant_name","arth_Class","arth_order","arth_family","arth_genus_subgenus","individual_count"
"1999-05-13 00:00:00","AB181","Citrus  ","Hexapoda","Thysanoptera","","",10
"1999-05-13 00:00:00","AB181","Citrus  ","Hexapoda","Homoptera","Aleyrodidae"," ",1
"1999-05-13 00:00:00","AB181","Thevetia peruviana  ","","Araneae","Thomisidae","",1
"1999-05-13 00:00:00","AB181","Pinus  ","Arachnida","Acari","","",192
"1999-05-13 00:00:00","AB181","Pinus  ","Hexapoda","Chrysopidae","Neuroptera","",1
"1999-05-13 00:00:00","AB181","Citrus  ","Arachnida","Acari","","",14
"1999-05-13 00:00:00","AB181","Thevetia peruviana  ","Hexapoda","Thysanoptera","","",9
"1999-05-13 00:00:00","AB181","Thevetia peruviana  ","","Coleoptera","Cleridae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Homoptera","Cicadellidae","",2
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Thysanoptera","","",18
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Arachnida","Araneida","Salticidae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Arachnida","Acari","","",20
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Homoptera","Aphididae","",2
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Hemiptera","Miridae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","","Coleoptera","Cleridae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Arachnida","Araneida","Salticidae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Arachnida","Acari","","",12
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","","Araneae","Thomisidae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Hymenoptera","","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Thysanoptera","","",2
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Hymenoptera","","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Homoptera","Cicadellidae","",3
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Thysanoptera","","",5
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Arachnida","Acari","","",15
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Neuroptera","Chrysopidae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Hemiptera","Miridae","",9
