"photo_id","site_id","digital_file_name","date","path_to_photo","negative_no","notes","copies","author","credits","year"
1,"01","0119497a","July,1949","/projectResults/GE5/Site01/0119497a.bmp","","PAN1/3","1","","contact William L. Graf about authorship",1949
2,"01","0119497b","July,1949","/projectResults/GE5/Site01/0119497b.bmp","","PAN2/3","1","","contact William L. Graf about authorship",1949
3,"01","0119497c","July,1949","/projectResults/GE5/Site01/0119497c.bmp","","PAN3/3","1","","contact William L. Graf about authorship",1949
4,"01","01198001","Jan,1980","/projectResults/GE5/Site01/01198001.BMP","30/31+","","1","William L. Graf","",1980
5,"01","0119801a","Jan,1980","/projectResults/GE5/Site01/0119801A.BMP","30/31-32","PAN1&2/4","1","William L. Graf","",1980
6,"01","0119801b","Jan,1980","","30/33-34","PAN3&4/4","1","William L. Graf","",1980
7,"01","01198004","April,1980","/projectResults/GE5/Site01/01198004.BMP","38/3-4;30-35","","1","William L. Graf","",1980
8,"01","0119804a","April,1980","","38/4","PAN1/3","1","William L. Graf","",1980
9,"01","0119804b","April,1980","/projectResults/GE5/Site01/0119804B.BMP","38/3","PAN2/3","1","William L. Graf","",1980
10,"01","0119804c","April,1980","/projectResults/GE5/Site01/0119804C.BMP","30/35","PAN3/3","1","William L. Graf","",1980
11,"01","01198010","Oct,1980","/projectResults/GE5/Site01/01198010.BMP","39/10+","","1","William L. Graf","",1980
12,"01","0119800a","Oct,1980","/projectResults/GE5/Site01/0119800A.BMP","39/13","PAN1/4","1","William L. Graf","",1980
13,"01","0119800b","Oct,1980","/projectResults/GE5/Site01/0119800B.BMP","39/12","PAN2/4","1","William L. Graf","",1980
14,"01","0119800c","Oct,1980","/projectResults/GE5/Site01/0119800C.BMP","39/11","PAN3/4","1","William L. Graf","",1980
15,"01","0119800d","Oct,1980","/projectResults/GE5/Site01/0119800D.BMP","39/10","PAN4/4","1","William L. Graf","",1980
16,"01","01198611","Nov,1986","/projectResults/GE5/Site01/01198611.BMP","3/6","","1","William L. Graf","",1986
17,"01","01199903","March,1999","/projectResults/GE5/Site01/01199903.BMP","11/12A","","1","William L. Graf","",1999
18,"01","0119993a","March,1999","/projectResults/GE5/Site01/0119993A.BMP","11/13A","","1","William L. Graf","",1999
19,"01","0119993b","March,1999","/projectResults/GE5/Site01/0119993B.BMP","11/14A","","1","William L. Graf","",1999
20,"01","0119993c","March,1999","/projectResults/GE5/Site01/0119993C.BMP","11/15A","","1","William L. Graf","",1999
21,"02","02194907","July,1949","/projectResults/GE5/Site02/02194907.BMP","33/18","","1","","contact William L. Graf about authorship",1949
22,"02","02198001","Jan,1980","","30/1+","","1","William L. Graf","",1980
23,"02","02199903","March,1999","/projectResults/GE5/Site02/02199903.BMP","11/11A","","1","William L. Graf","",1999
24,"03","03192002","Feb,1920","/projectResults/GE5/Site03/03192002.BMP","","","1","","contact William L. Graf about authorship",1920
25,"03","03193803","March,1938","/projectResults/GE5/Site03/03193803.BMP","","","1","","contact William L. Graf about authorship",1938
26,"03","03194909","Sep,1949","/projectResults/GE5/Site03/03194909.BMP","","","1","","contact William L. Graf about authorship",1949
27,"03","0319499a","Sep,1949","","33/19","","6","","contact William L. Graf about authorship",1949
28,"03","03198101","Jan,1981","/projectResults/GE5/Site03/03198101.bmp","41/7-9","","1","William L. Graf","",1981
29,"03","03198112","Dec,1981","/projectResults/GE5/Site03/03198112.BMP","","","1","William L. Graf","",1981
30,"03","03198611","Nov,1986","/projectResults/GE5/Site03/03198611.BMP","","","2","William L. Graf","",1986
31,"03","0319860a","Nov,1986","/projectResults/GE5/Site03/0319860A.BMP","","","1","William L. Graf","",1986
32,"03","0319860b","Nov,1986","/projectResults/GE5/Site03/0319860B.BMP","","","1","William L. Graf","",1986
33,"03","0319993a","March,1999","/projectResults/GE5/Site03/0319993a.bmp","11/0A","","1","William L. Graf","",1999
34,"03","0319993b","March,1999","/projectResults/GE5/Site03/0319993B.BMP","11/1A","","1","William L. Graf","",1999
35,"03","0319993c","March,1999","/projectResults/GE5/Site03/0319993C.BMP","11/2A","","1","William L. Graf","",1999
36,"03","0319993d","March,1999","","11/3A","","1","William L. Graf","",1999
