"ID","site","sample_date","rep","day","num_gw_wells","dischage","doc","doc_k","doc_per_flow","doc_dec_flow","doc_dec_rel_flow","uva","arti_sub_resp","suva","tdp","tdn","don","don_per","dop","dop_per","dom_c_n_dom","dom_c_p_dom","dom_n_p","din_dip","nh4","no3","po4_ug_l","po4__mg_l","bromide_mg_l","sulfate_mg_l","per_so4_flow","cl_mg_l","per_cl_flow","calcium","na","k","per_k_flow","mg","so4_cl_mol_ratio","so4_mg_mol_ratio","mg_cl_mol_ratio","mg_k_mol_ratio","so4_k_mol_ratio","cl_k_mol_ratio","pco2","int450","int500","f1","unfil_cod","fil_cod","adj_unfil_cod","adj_fil_cod","pos_flowpath"
1,"91TP","2000-07-21 00:00:00","A",203.00000,,,,,,,,,,,,2.90000,,,,,,,,6.01504,1.70000,1.80000,,1.33000,0.40000,196.00000,,328.00000,,,,,,,,,,,,,,,,,,,,,
2,"Gila At 115thAve","2000-07-21 00:00:00","A",203.00000,,,,,,,,,,,,8.30000,,,,,,,,7.07483,4.70000,1.80000,,2.10000,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Gila At BuckeyeDiversionDam","2000-07-21 00:00:00","A",203.00000,,,,,,,,,,,,2.70000,,,,,,,,4.24668,1.00000,2.40000,,1.83000,0.40000,248.00000,,521.00000,,,,,,,,,,,,,,,,,,,,,
4,"91TP","2000-08-10 00:00:00","A",223.00000,,,,,,,,,,,,1.80000,,,,,,,,6.06753,0.82000,2.10000,,1.10000,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Gila At 115thAve","2000-08-10 00:00:00","A",223.00000,,,,,,,,,,,,3.80000,,,,,,,,9.14286,2.40000,2.80000,,1.30000,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Gila At BuckeyeDiversionDam","2000-08-10 00:00:00","A",223.00000,,,,,,,,,,,,2.00000,,,,,,,,5.86667,0.68000,2.40000,,1.20000,,,,,,,,,,,,,,,,,,,,,,,,,
7,"91TP","2000-09-07 00:00:00","A",251.00000,,,,,,,,,,,,,,,,,,,,,,2.50000,,2.20000,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Gila At 115thAve","2000-09-07 00:00:00","A",251.00000,,,,,,,,,,,,,,,,,,,,,,3.80000,,2.30000,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Gila At BuckeyeDiversionDam","2000-09-07 00:00:00","A",251.00000,,,,,,,,,,,,1.20000,,,,,,,,4.06349,0.50000,2.70000,,1.80000,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Buckeye Canal At Bullard","2000-03-15 00:00:00","B",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Buckeye Canal At Jackrabbit","2000-03-15 00:00:00","A",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Buckeye Canal At Jackrabbit","2000-03-15 00:00:00","B",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Buckeye Canal At Baseline","2000-03-15 00:00:00","A",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Buckeye Canal At Baseline","2000-03-15 00:00:00","B",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Buckeye Canal At Baseline","2000-03-15 00:00:00","C",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Hassayampa","2000-03-15 00:00:00","A",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Hassayampa","2000-03-15 00:00:00","B",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Hassayampa","2000-03-15 00:00:00","C",75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"91TP","2000-03-01 00:00:00","A",61.00000,2,,6,0,99,1,0,0,,0,2,6.30000,1,12,,,9,,,8.05145,1.30600,4.24900,1577,1.57700,,216.00000,101,269.90000,99,71,231,15,100,32,1,5,0,3,17,20,15127,232,125,2,18,18,6,6,
20,"91TP","2000-03-01 00:00:00","B",61.00000,2,,6,0,101,-1,0,0,,0,2,6.09000,1,9,,,13,,,7.93393,1.32900,4.31500,1626,1.62600,,211.00000,99,273.10000,100,72,233,15,100,32,1,5,0,3,17,20,14885,243,130,2,13,20,4,7,
21,"91TP","2000-03-01 00:00:00","C",61.00000,2,2,6,0,99,1,0,0,,0,2,5.86000,0,5,,,23,,,7.51177,1.33400,4.15100,1669,1.66900,,212.00000,100,274.20000,101,72,228,15,100,32,1,5,0,3,17,20,15393,,,,,,,,1
22,"Buckeye Canal At Bullard","2000-03-01 00:00:00","A",61.00000,2,,6,0,101,-1,0,0,,0,1,6.86000,1,13,,,8,,,9.31079,0.66200,5.32600,1470,1.47000,,266.00000,125,508.60000,187,111,315,16,107,52,1,4,0,5,20,34,7457,200,106,2,27,18,10,6,
23,"Buckeye Canal At Bullard","2000-03-01 00:00:00","B",61.00000,2,,6,0,106,-6,0,0,,0,1,6.71000,1,11,,,10,,,9.06912,0.65200,5.25200,1488,1.48800,,265.00000,124,512.10000,188,116,324,16,104,53,1,4,0,5,20,36,7454,,,,19,19,7,7,
24,"Buckeye Canal At Bullard","2000-03-01 00:00:00","C",61.00000,2,6,6,0,101,-1,0,0,,0,1,7.04000,1,15,,,7,,,9.28619,0.66000,5.43000,1499,1.49900,,266.00000,125,506.20000,186,116,308,16,105,52,1,4,0,5,20,35,7456,203,107,2,,,,,13
25,"Buckeye Canal At Jackrabbit","2000-03-01 00:00:00","A",61.00000,2,,6,0,98,2,0,0,,0,1,7.30000,0,5,,,19,,,10.85949,0.93500,6.01100,1462,1.46200,,250.00000,117,453.30000,166,109,279,15,98,49,1,4,0,5,20,34,4791,188,101,2,19,18,7,6,
26,"Buckeye Canal At Jackrabbit","2000-03-01 00:00:00","B",61.00000,2,,7,0,115,-15,1,0,,0,1,8.10000,1,14,,,7,,,10.73960,0.90700,6.01400,1473,1.47300,,250.00000,117,442.70000,163,107,278,16,102,48,1,4,0,5,20,32,4792,,,,15,16,5,5,
27,"Buckeye Canal At Jackrabbit","2000-03-01 00:00:00","C",61.00000,2,,7,0,115,-15,1,0,,0,1,8.04000,1,14,,,7,,,10.90278,0.90500,6.08300,1465,1.46500,,250.00000,117,447.40000,164,105,298,15,100,49,1,4,0,5,20,32,4790,192,102,2,,,,,20
28,"Buckeye Canal At Baseline","2000-03-01 00:00:00","A",61.00000,2,,6,0,99,1,0,0,,0,2,9.02000,1,13,0,2,6,618,102,11.05968,0.89700,7.04800,1642,1.64200,,277.00000,130,466.80000,171,111,316,16,102,51,1,4,0,5,22,33,4273,181,97,2,23,21,9,8,
29,"Buckeye Canal At Baseline","2000-03-01 00:00:00","B",61.00000,2,,6,0,99,1,0,0,,0,2,8.93000,1,12,,,7,,,11.22390,0.89400,6.94800,1597,1.59700,,278.00000,131,461.50000,169,109,315,16,102,52,1,4,0,5,22,33,4255,182,98,2,25,13,9,4,
30,"Buckeye Canal At Baseline","2000-03-01 00:00:00","C",61.00000,2,,6,0,99,1,0,0,,0,1,9.22000,1,14,,,5,,,11.02076,0.88900,6.97500,1631,1.63100,,281.00000,132,462.00000,170,110,318,15,101,51,1,4,0,5,22,33,4290,,,,,,,,30
31,"Hassayampa","2000-03-01 00:00:00","A",61.00000,2,,6,0,99,1,0,0,,0,1,8.39000,1,15,,,5,,,11.44942,0.76800,6.37000,1425,1.42500,,242.00000,114,419.90000,154,100,273,15,97,47,1,4,0,5,20,31,2156,178,95,2,26,20,10,7,
32,"Hassayampa","2000-03-01 00:00:00","B",61.00000,2,,6,0,101,-1,0,0,,0,1,8.35000,1,15,,,6,,,11.73714,0.76500,6.42400,1400,1.40000,,241.00000,113,428.50000,157,99,280,15,98,47,1,4,0,5,20,32,2170,169,91,2,19,18,7,6,
33,"Hassayampa","2000-03-01 00:00:00","C",61.00000,2,3,6,0,101,-1,0,0,,0,1,8.37000,1,15,,,6,,,12.08041,0.76300,6.29800,1336,1.33600,,230.00000,108,402.00000,148,100,276,15,98,47,1,4,0,5,19,30,2157,,,,,,,,48
34,"Gila At Arlington","2000-03-01 00:00:00","A",61.00000,2,,5,0,83,17,-1,0,,0,,8.54000,1,9,,,7,,,18.14138,0.39700,7.27000,966,0.96600,,432.00000,203,710.40000,261,157,505,14,93,71,1,5,0,8,37,55,3230,156,89,2,21,20,8,7,
35,"Gila At Arlington","2000-03-01 00:00:00","B",61.00000,2,,5,0,83,17,-1,0,,0,,8.91000,1,13,,,5,,,17.94354,0.39400,7.47200,1002,1.00200,,436.00000,205,731.30000,268,150,488,14,93,67,1,5,0,8,38,57,3193,158,90,2,26,19,10,7,
36,"Gila At Arlington","2000-03-01 00:00:00","C",61.00000,2,,5,0,83,17,-1,0,,0,,8.71000,1,11,,,6,,,17.48127,0.39700,7.27400,1003,1.00300,,437.00000,205,731.60000,269,156,503,15,96,71,1,5,0,8,37,55,3207,,,,,,,,59
37,"Gila At Gillespie","2000-03-01 00:00:00","A",61.00000,2,,4,0,76,24,-1,0,,0,,9.42000,1,13,,,4,,,21.23679,0.23000,7.90900,876,0.87600,,542.00000,254,871.00000,320,171,630,14,95,82,1,5,0,9,46,66,2208,139,81,2,28,23,11,9,
38,"Gila At Gillespie","2000-03-01 00:00:00","B",61.00000,2,,4,0,74,26,-2,0,,0,,9.07000,1,9,,,6,,,21.62535,0.22900,7.91700,861,0.86100,,526.00000,247,850.40000,312,172,637,15,96,84,1,5,0,9,44,64,2215,138,81,2,20,18,7,6,
